Xnom,Ynom,Znom,Upos,Xmeas,Ymeas,Zmeas
-3.120765,-0.000679,19.419580,0.000000,534.444722,-0.919241,49.311648,
-3.160553,17.702189,10.589000,0.000000,534.413797,17.020293,40.971751,
-3.117089,17.057274,-9.180260,0.000000,534.458921,16.920268,21.192501,
-3.211884,0.310447,-14.673034,0.000000,534.357583,0.330580,15.239511,
-3.177682,-15.191379,-8.885207,0.000000,534.383602,-15.324456,20.599065,
-3.142755,-15.443553,9.104825,0.000000,534.416655,-16.071811,38.575176,
-3.120765,-0.000679,19.419580,90.000000,534.439524,-19.797786,29.340139,
-3.160553,17.702189,10.589000,90.000000,534.407250,-11.455461,47.280113,
-3.117089,17.057274,-9.180260,90.000000,534.455433,8.321292,47.178510,
-3.211884,0.310447,-14.673034,90.000000,534.358787,14.272806,30.589563,
-3.177682,-15.191379,-8.885207,90.000000,534.389571,8.914581,14.931452,
-3.142755,-15.443553,9.104825,90.000000,534.417632,-9.062196,14.186527,
-3.120765,-0.000679,19.419580,180.000000,534.444221,0.172529,10.460334,
-3.160553,17.702189,10.589000,180.000000,534.404376,-17.765491,18.800488,
-3.117089,17.057274,-9.180260,180.000000,534.449275,-17.665744,38.579870,
-3.211884,0.310447,-14.673034,180.000000,534.355019,-1.076610,44.531326,
-3.177682,-15.191379,-8.885207,180.000000,534.389130,14.578263,39.172569,
-3.142755,-15.443553,9.104825,180.000000,534.423061,15.326001,21.196795,
-3.120765,-0.000679,19.419580,270.000000,534.445852,19.051601,30.430687,
-3.160553,17.702189,10.589000,270.000000,534.409368,10.711621,12.492961,
-3.117089,17.057274,-9.180260,270.000000,534.449840,-9.067650,12.593200,
-3.211884,0.310447,-14.673034,270.000000,534.346286,-15.016895,29.182525,
-3.177682,-15.191379,-8.885207,270.000000,534.379947,-9.658349,44.836411,
-3.142755,-15.443553,9.104825,270.000000,534.418179,8.316873,45.583576,
