Xnom,Ynom,Znom,Upos,Xmeas,Ymeas,Zmeas
105.654600,-25.973100,-32.820917,0.000000,109.412160,-26.360908,-32.848377,
103.618000,-2.839500,-3.412400,0.000000,107.390349,-3.252411,-3.439161,
631.997100,95.541100,-71.562700,0.000000,635.735839,95.364407,-71.592409,
632.029000,-55.565100,-94.617300,0.000000,635.830512,-55.727698,-94.613829,
632.000700,-104.030400,-37.764500,89.997500,635.769470,37.615944,-104.102117,
632.029000,-55.565100,-94.617300,89.997500,635.770822,94.493341,-55.650577,
108.713200,-62.534500,-29.032400,89.997500,112.464406,28.724159,-62.658609,
107.577100,-49.287600,34.906200,180.000000,111.319273,49.102769,-34.939942,
109.869300,-76.524500,4.199500,180.000000,113.615196,76.337638,-4.267290,
631.989500,-55.566400,94.633000,180.000000,635.771975,55.497388,-94.644532,
631.990900,67.110800,95.990100,180.000000,635.807951,-67.165207,-95.967039,
631.997100,95.541100,-71.562700,269.997000,635.811034,-71.660716,-95.491525,
631.990800,95.514600,71.529200,269.997000,635.759200,71.380542,-95.523365,
103.618000,-2.839500,-3.412400,269.997000,107.358382,-3.673907,2.864543,
